"datetime","y"
2020/01/01 00.00,509.59
2020/01/01 01.00,498.05
2020/01/01 02.00,494.24
2020/01/01 03.00,493.77
2020/01/01 04.00,468.7
2020/01/01 05.00,545.14
2020/01/01 06.00,488.69
2020/01/01 07.00,502.56
2020/01/01 08.00,506.44
2020/01/01 09.00,505.19
2020/01/01 10.00,614.21
2020/01/01 11.00,616.49
2020/01/01 12.00,690.04
2020/01/01 13.00,656.7
2020/01/01 14.00,578.86
2020/01/01 15.00,586.99
2020/01/01 16.00,608.85
2020/01/01 17.00,583.72
2020/01/01 18.00,579.19
2020/01/01 19.00,536.29
2020/01/01 20.00,536.94
2020/01/01 21.00,504.52
2020/01/01 22.00,531.32
2020/01/01 23.00,531.24
2020/01/02 00.00,475.61
2020/01/02 01.00,505.27
2020/01/02 02.00,478.31
2020/01/02 03.00,486.83
2020/01/02 04.00,491.36
2020/01/02 05.00,507.68
2020/01/02 06.00,495.86
2020/01/02 07.00,478.43
2020/01/02 08.00,480.64
2020/01/02 09.00,481.38
2020/01/02 10.00,481.49
2020/01/02 11.00,480.06
2020/01/02 12.00,480.48
2020/01/02 13.00,480.83
2020/01/02 14.00,471.41
2020/01/02 15.00,472.31
2020/01/02 16.00,472.53
2020/01/02 17.00,472.36
2020/01/02 18.00,472.4
2020/01/02 19.00,465.59
2020/01/02 20.00,452.27
2020/01/02 21.00,463.24
2020/01/02 22.00,462.3
2020/01/02 23.00,462.21
2020/01/03 00.00,463.76
2020/01/03 01.00,462.87
2020/01/03 02.00,464.21
2020/01/03 03.00,463.86
2020/01/03 04.00,463.04
2020/01/03 05.00,439.41
2020/01/03 06.00,439.47
2020/01/03 07.00,466.3
2020/01/03 08.00,464.86
2020/01/03 09.00,445.21
2020/01/03 10.00,468.04
2020/01/03 11.00,464.66
2020/01/03 12.00,464.18
2020/01/03 13.00,463.71
2020/01/03 14.00,464.45
2020/01/03 15.00,444.78
2020/01/03 16.00,496.08
2020/01/03 17.00,546.75
2020/01/03 18.00,506.55
2020/01/03 19.00,571.54
2020/01/03 20.00,1842.64
2020/01/03 21.00,1740.01
2020/01/03 22.00,824.43
2020/01/03 23.00,716.51
2020/01/04 00.00,606.82
2020/01/04 01.00,610.66
2020/01/04 02.00,570.58
2020/01/04 03.00,538.69
2020/01/04 04.00,570.77
2020/01/04 05.00,497.23
2020/01/04 06.00,487.96
2020/01/04 07.00,503.51
2020/01/04 08.00,505.31
2020/01/04 09.00,507.34
2020/01/04 10.00,508.24
2020/01/04 11.00,508.98
2020/01/04 12.00,480.12
2020/01/04 13.00,537.55
2020/01/04 14.00,501.98
2020/01/04 15.00,502.55
2020/01/04 16.00,501.7
2020/01/04 17.00,502.1
2020/01/04 18.00,474.45
2020/01/04 19.00,527.3
2020/01/04 20.00,499.93
2020/01/04 21.00,475.85
2020/01/04 22.00,475.9
2020/01/04 23.00,493.12
2020/01/05 00.00,491.53
2020/01/05 01.00,485.08
2020/01/05 02.00,486.24
2020/01/05 03.00,471.05
2020/01/05 04.00,527.93
2020/01/05 05.00,461.85
2020/01/05 06.00,497.7
2020/01/05 07.00,477.07
2020/01/05 08.00,483.34
2020/01/05 09.00,506.92
2020/01/05 10.00,480.75
2020/01/05 11.00,579.33
2020/01/05 12.00,482.18
2020/01/05 13.00,483.2
2020/01/05 14.00,472.95
2020/01/05 15.00,508.49
2020/01/05 16.00,482.96
2020/01/05 17.00,482.19
2020/01/05 18.00,478.62
2020/01/05 19.00,469.51
2020/01/05 20.00,460.62
2020/01/05 21.00,461.51
2020/01/05 22.00,461.43
2020/01/05 23.00,461.73
2020/01/06 00.00,461.77
2020/01/06 01.00,
2020/01/06 02.00,462.55
2020/01/06 03.00,475.65
2020/01/06 04.00,461.69
2020/01/06 05.00,457.14
2020/01/06 06.00,462.28
2020/01/06 07.00,468.1
2020/01/06 08.00,468.43
2020/01/06 09.00,468
2020/01/06 10.00,467.36
2020/01/06 11.00,
2020/01/06 12.00,469.44
2020/01/06 13.00,470.41
2020/01/06 14.00,468.7
2020/01/06 15.00,469.55
2020/01/06 16.00,466.13
2020/01/06 17.00,501.1
2020/01/06 18.00,501.65
2020/01/06 19.00,463.12
2020/01/06 20.00,461
2020/01/06 21.00,463.08
2020/01/06 22.00,444.09
2020/01/06 23.00,462.84
2020/01/06 00.00,462.72
2020/01/07 01.00,445.09
2020/01/07 02.00,462.99
2020/01/07 03.00,440
2020/01/07 04.00,448
2020/01/07 05.00,471.3
2020/01/07 06.00,463.12
2020/01/07 07.00,447.81
2020/01/07 08.00,450.1
2020/01/07 09.00,469.41
2020/01/07 10.00,470.87
2020/01/07 11.00,467.53
2020/01/07 12.00,469.17
2020/01/07 13.00,467.91
2020/01/07 14.00,464.3
2020/01/07 15.00,468.3
2020/01/07 16.00,451
2020/01/07 17.00,463.83
2020/01/07 18.00,458.83
2020/01/07 19.00,456.5
2020/01/07 20.00,458.04
2020/01/07 21.00,458.05
2020/01/07 22.00,456.54
2020/01/07 23.00,456.39
2020/01/08 00.00,455.76
2020/01/08 01.00,439.31
2020/01/08 02.00,452.87
2020/01/08 03.00,455
2020/01/08 04.00,459.02
2020/01/08 05.00,485.96
2020/01/08 06.00,456.38
2020/01/08 07.00,467.78
2020/01/08 08.00,446
2020/01/08 09.00,452.44
2020/01/08 10.00,469.66
2020/01/08 11.00,469.43
2020/01/08 12.00,435.76
2020/01/08 13.00,466.74
2020/01/08 14.00,451.57
2020/01/08 15.00,468.53
2020/01/08 16.00,451.14
2020/01/08 17.00,467.91
2020/01/08 18.00,463.43
2020/01/08 19.00,463.72
2020/01/08 20.00,462.97
2020/01/08 21.00,445.86
